entrez	degree	betweenness
4771	33	0.0001776247454492381
6014	11	9.049594756395331e-05
998	230	0.00946026808217964
4301	80	0.0018666919349708694
5899	23	0.00024583417797989087
5898	27	0.00017889129124201085
1436	21	0.00045625414903304
2065	112	0.002177459752362548
2066	98	0.000597269458540584
613	81	0.0013141378548083785
9846	51	0.0002445082459181322
1793	26	0.00021753633038984046
6654	125	0.002526731127735447
7410	62	0.0005446129333734606
10451	55	0.00024915198503648795
29127	54	0.0007842250169793006
29760	25	3.445795368343986e-05
5777	70	0.0005756097291852168
2549	67	0.0007144299408672928
3667	61	0.0007575038544829357
10188	48	0.000647065271323637
8651	54	0.0003979186975379938
5786	25	8.745058575769593e-05
1969	98	0.003566312669906571
5335	137	0.00443291877900777
4486	30	0.0012989590104538454
51517	28	0.00020674852141276331
2324	14	0.00010312939887172907
139716	6	5.208060497901657e-08
7409	105	0.002003844593102211
10603	36	0.00041110362225521503
1398	134	0.0053961663537585025
26191	13	1.8334945160496943e-06
6461	27	3.241805015577314e-05
5829	47	0.0006629835922482405
3643	93	0.0040845853582987725
2057	35	0.00014071402045392301
3702	39	0.00015976196539954122
10019	17	8.262172605539806e-06
5782	38	0.00010169550847986804
1399	73	0.0007465791593636399
30011	68	0.0008665135966493277
2047	18	0.00020304475823355682
2322	33	0.00024535826732601293
9649	3	1.4871395394585242e-06
5791	12	3.8761629628834215e-05
1759	43	0.0003272477236604031
5287	8	5.154515121648197e-06
3059	14	0.0006260812171504224
6655	45	0.0006979856102734572
8631	23	0.00040778550196575436
3635	36	0.00036723007210550155
64780	18	0.0004471590654825865
6711	44	0.0004940106479532871
8853	24	0.0002675412664471328
9743	43	0.00016271047768768278
25890	2	8.690005721390857e-07
25930	9	0.0003685664469703881
50807	44	0.0005245927297574596
63898	14	4.882444695874826e-05
152503	13	0.00011337966828504422
7918	13	0.00039341622918796483
3240	17	0.0021227617075612114
10342	16	0.0004950365560505756
28964	36	0.000340672021284828
1785	84	0.002979872176557434
4690	123	0.002887200181185395
84959	35	0.0005149988264925011
79705	49	0.0005615743957563025
3636	48	0.000871057953358869
116985	29	0.00017170852200588385
26052	23	0.0001365286581023077
8935	20	0.00011104414785831807
9050	3	0.0
23607	45	0.0005964445450499616
2017	41	0.0003510752449481953
5290	36	0.0007363550639520185
8660	31	0.00011046443873322583
112574	12	1.1225013068130479e-05
11188	25	0.00019059847725143373
285590	10	2.005232340417861e-05
9732	5	5.365389415962135e-06
5291	23	0.000463552123839261
26469	13	6.558971059744445e-06
8874	66	0.0018069473407959487
1445	72	0.0016349516170761837
1465	6	1.4435000610201585e-05
9644	29	0.00021419532523655931
94134	38	0.00045300353913531636
2197	51	0.003323819373484131
7006	48	0.0003003788815733709
4253	5	1.324695396604594e-05
7984	8	2.401339764293229e-05
85358	52	0.0014982245269157533
2059	19	0.00026221540653027656
7159	54	0.003290644343081114
51225	10	9.490727935457752e-05
64333	27	0.00020146507843816166
9744	14	0.0005165068058125986
4009	8	0.0005936111291808596
50855	28	0.00019613733392809019
122809	14	4.810471966537588e-05
116449	13	5.644459523482212e-06
4058	10	1.2005970744148858e-06
25759	14	5.521998353141298e-06
399694	13	1.3135915229578399e-06
80005	15	0.00015197506170540185
9402	44	7.227314613393617e-05
59339	17	9.361600288533836e-05
917	25	2.324352340579688e-06
915	16	7.310509954332014e-07
653361	18	0.00027033295549694933
23371	23	0.00047082273878619896
7294	22	5.475300873525136e-06
7301	10	0.00020845955614977565
144100	113	0.004514357069802145
144717	6	0.0002490112045973012
88455	11	0.0005932301480827159
29978	121	0.009386907044082463
27165	11	4.2040402081495625e-05
2048	38	0.00037258934646292415
9699	12	0.00021965453515733344
2533	19	2.265287701343385e-05
22941	17	9.776847616159497e-05
7010	34	0.00010555506737496463
51474	18	0.00046967787806072406
667	44	0.00175678467772261
287	27	0.0005841623337644465
54106	30	0.0009857048812499261
4068	19	5.992871901179396e-06
55075	21	0.00019145979759252425
10919	47	0.005120770444034203
274	22	0.00021618436226877147
3983	15	0.00015081049509578512
9901	28	3.261038019042494e-05
9266	18	0.00045326754308545707
3561	31	0.001778982080346622
9826	40	0.0004732662563071095
10461	9	9.743051490501616e-05
5783	28	0.0003102381247548364
2314	18	0.00045978976953800314
9472	7	2.404080208364824e-05
1271	9	3.411439997224903e-05
5591	27	0.0004866847770768824
4008	28	0.0005333274807020343
22885	10	0.00011322556393765642
5799	7	4.85792737326861e-05
6709	95	0.007313632947583361
8626	12	5.453701035981131e-05
9260	31	0.0010260248449470075
4659	44	0.0010009769751507175
22999	18	0.0007030015509271638
5194	5	1.964723512093548e-05
26064	28	0.00030379226447630207
4007	10	0.0004788851852631554
23114	22	0.0005153997257374824
5607	39	0.00034551785664280876
2051	18	0.00020628207287446394
5294	14	0.00017903997026357335
3691	31	0.0014977396773818905
23164	35	0.00036114773674562623
2886	25	0.0011138986673063967
1795	10	7.603153835848818e-06
5775	12	0.0001512016951789147
4638	27	0.00027483499608262936
92591	10	6.394451895262402e-05
10278	23	0.00012179254017564852
5796	54	0.003856557597593703
